Distance (A) | State | Partition | DI | Pop(Li) | Pop(H)
        4.00 | GS    | Meta-Lowdin  | 0.206654 | 2.930542 | 1.069458
        4.00 | GS    | IAO          | 0.196847 | 2.918359 | 1.058869
        4.00 | GS    | PEIAO        | 0.002346 | 0.082664 | 0.075149
        4.00 | GS    | FPIAO(1.0)   | 0.205494 | 2.931848 | 1.046808
        4.00 | GS    | FPIAO(1.5)   | 0.200236 | 2.924291 | 1.053918
        4.00 | GS    | FPIAO(2.0)   | 0.198326 | 2.921351 | 1.056584
        4.20 | GS    | Mulliken     | 0.161455 | 2.931090 | 1.068910
        4.20 | GS    | Lowdin       | 0.182695+0.000000j | 2.937458+0.000000j | 1.062542+0.000000j
        4.20 | GS    | Meta-Lowdin  | 0.141607 | 2.955465 | 1.044535
        4.20 | GS    | IAO          | 0.135564 | 2.948262 | 1.037417
        4.20 | GS    | PEIAO        | 0.002799 | 0.087353 | 0.071181
        4.20 | GS    | FPIAO(1.0)   | 0.142060 | 2.957632 | 1.028966
        4.20 | GS    | FPIAO(1.5)   | 0.137855 | 2.951997 | 1.034290
        4.20 | GS    | FPIAO(2.0)   | 0.136498 | 2.950033 | 1.036070
        4.40 | GS    | Mulliken     | 0.109897 | 2.954153 | 1.045847
        4.40 | GS    | Lowdin       | 0.127520 | 2.959072 | 1.040928
        4.40 | GS    | Meta-Lowdin  | 0.094281 | 2.972053 | 1.027947
        4.40 | GS    | IAO          | 0.090563 | 2.967870 | 1.023260
        4.40 | GS    | PEIAO        | 0.003141 | 0.093087 | 0.065343
        4.40 | GS    | FPIAO(1.0)   | 0.095403 | 2.974328 | 1.017369
        4.40 | GS    | FPIAO(1.5)   | 0.092111 | 2.970199 | 1.021292
        4.40 | GS    | FPIAO(2.0)   | 0.091159 | 2.968911 | 1.022464
        4.60 | GS    | Mulliken     | 0.073568 | 2.969869 | 1.030131
        4.60 | GS    | Lowdin       | 0.087888-0.000000j | 2.974014+0.000000j | 1.025986+0.000000j
        4.60 | GS    | Meta-Lowdin  | 0.061755 | 2.982640 | 1.017360
        4.60 | GS    | IAO          | 0.059456 | 2.980194 | 1.014294
        4.60 | GS    | PEIAO        | 0.003317 | 0.099333 | 0.058598
        4.60 | GS    | FPIAO(1.0)   | 0.063011 | 2.984630 | 1.010199
        4.60 | GS    | FPIAO(1.5)   | 0.060495 | 2.981645 | 1.013054
        4.60 | GS    | FPIAO(2.0)   | 0.059838 | 2.980808 | 1.013820
        4.80 | GS    | Mulliken     | 0.048855 | 2.980333 | 1.019667
        4.80 | GS    | Lowdin       | 0.060336 | 2.984049 | 1.015951
        4.80 | GS    | Meta-Lowdin  | 0.040125 | 2.989248 | 1.010752
        4.80 | GS    | IAO          | 0.038690 | 2.987773 | 1.008741
        4.80 | GS    | PEIAO        | 0.003326 | 0.105618 | 0.051637
        4.80 | GS    | FPIAO(1.0)   | 0.041262 | 2.990816 | 1.005903
        4.80 | GS    | FPIAO(1.5)   | 0.039382 | 2.988682 | 1.007957
        4.80 | GS    | FPIAO(2.0)   | 0.038935 | 2.988139 | 1.008456
        5.00 | GS    | Mulliken     | 0.032352 | 2.987214 | 1.012786
        5.00 | GS    | Lowdin       | 0.041502 | 2.990669 | 1.009331
