Distance (A) | State | Partition | DI | Pop(Li) | Pop(H)
        8.90 | ES    | FPIAO(1.0)   | 0.000001 | 1.999976 | 1.000354
        8.90 | ES    | FPIAO(1.5)   | 0.000000 | 1.999980 | 1.000355
        8.90 | ES    | FPIAO(2.0)   | 0.000000 | 1.999981 | 1.000355
        9.10 | ES    | Mulliken     | 0.000955 | 2.999536 | 1.000464
        9.10 | ES    | Lowdin       | 0.001393 | 3.000463 | 0.999537
        9.10 | ES    | Meta-Lowdin  | 0.001472 | 2.998809 | 1.001191
        9.10 | ES    | IAO          | 0.000000 | 1.999945 | 1.000235
        9.10 | ES    | PEIAO        | 0.000011 | 0.067734 | 0.003307
        9.10 | ES    | FPIAO(1.0)   | 0.000001 | 1.999975 | 1.000234
        9.10 | ES    | FPIAO(1.5)   | 0.000000 | 1.999978 | 1.000235
        9.10 | ES    | FPIAO(2.0)   | 0.000000 | 1.999979 | 1.000235
        9.30 | ES    | Mulliken     | 0.000681 | 2.999680 | 1.000320
        9.30 | ES    | Lowdin       | 0.001084 | 3.000488 | 0.999512
        9.30 | ES    | Meta-Lowdin  | 0.001067 | 2.999127 | 1.000873
        9.30 | ES    | IAO          | 0.000000 | 1.999944 | 1.000153
        9.30 | ES    | PEIAO        | 0.000009 | 0.067482 | 0.002962
        9.30 | ES    | FPIAO(1.0)   | 0.000001 | 1.999973 | 1.000152
        9.30 | ES    | FPIAO(1.5)   | 0.000000 | 1.999977 | 1.000153
        9.30 | ES    | FPIAO(2.0)   | 0.000000 | 1.999978 | 1.000153
        9.50 | ES    | Mulliken     | 0.000488 | 2.999781 | 1.000219
        9.50 | ES    | Lowdin       | 0.000856 | 3.000479 | 0.999521
        9.50 | ES    | Meta-Lowdin  | 0.000774 | 2.999361 | 1.000639
        9.50 | ES    | IAO          | 0.000000 | 1.999943 | 1.000097
        9.50 | ES    | PEIAO        | 0.000007 | 0.067269 | 0.002687
        9.50 | ES    | FPIAO(1.0)   | 0.000000 | 1.999972 | 1.000096
        9.50 | ES    | FPIAO(1.5)   | 0.000000 | 1.999976 | 1.000097
        9.50 | ES    | FPIAO(2.0)   | 0.000000 | 1.999978 | 1.000097
        9.70 | ES    | Mulliken     | 0.000350 | 2.999852 | 1.000148
        9.70 | ES    | Lowdin       | 0.000687 | 3.000452 | 0.999548
        9.70 | ES    | Meta-Lowdin  | 0.000561 | 2.999533 | 1.000467
        9.70 | ES    | IAO          | 0.000000 | 1.999943 | 1.000058
        9.70 | ES    | PEIAO        | 0.000006 | 0.067091 | 0.002469
        9.70 | ES    | FPIAO(1.0)   | 0.000000 | 1.999971 | 1.000058
        9.70 | ES    | FPIAO(1.5)   | 0.000000 | 1.999976 | 1.000058
        9.70 | ES    | FPIAO(2.0)   | 0.000000 | 1.999977 | 1.000058
        9.90 | ES    | Mulliken     | 0.000251 | 2.999902 | 1.000098
        9.90 | ES    | Lowdin       | 0.000559 | 3.000413 | 0.999587
        9.90 | ES    | Meta-Lowdin  | 0.000406 | 2.999659 | 1.000341
        9.90 | ES    | IAO          | 0.000000 | 1.999942 | 1.000032
        9.90 | ES    | PEIAO        | 0.000005 | 0.066944 | 0.002295
        9.90 | ES    | FPIAO(1.0)   | 0.000000 | 1.999970 | 1.000032
        9.90 | ES    | FPIAO(1.5)   | 0.000000 | 1.999975 | 1.000032
        9.90 | ES    | FPIAO(2.0)   | 0.000000 | 1.999976 | 1.000032
